,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,E04,SYBR,mCh,Unkn,J-Cit3,,14.9355993458683,14.9355993458683,0,NaN,NaN,NaN,0,72,
,E05,SYBR,mCh,Unkn,J-Cit3,,14.8844512636641,14.8844512636641,0,NaN,NaN,NaN,0,72,
,E06,SYBR,mCh,Unkn,J-Cit3,,14.8848504062407,14.8848504062407,0,NaN,NaN,NaN,0,72,
,E07,SYBR,Cit6,Unkn,J-Cit6,,15.4009387912065,15.4009387912065,0,NaN,NaN,NaN,0,72,
,E08,SYBR,Cit6,Unkn,J-Cit6,,14.976038362067,14.976038362067,0,NaN,NaN,NaN,0,72,
,E09,SYBR,Cit6,Unkn,J-Cit6,,15.3596232639342,15.3596232639342,0,NaN,NaN,NaN,0,72,
,E10,SYBR,mCh,Unkn,J-Cit6,,14.7334524339268,14.7334524339268,0,NaN,NaN,NaN,0,72,
,E11,SYBR,mCh,Unkn,J-Cit6,,14.6284078526327,14.6284078526327,0,NaN,NaN,NaN,0,72,
,E12,SYBR,mCh,Unkn,J-Cit6,,14.8802583472203,14.8802583472203,0,NaN,NaN,NaN,0,72,
,F01,SYBR,Cit3,Unkn,J-Cit3,,15.0794481157014,15.0794481157014,0,NaN,NaN,NaN,0,72,
,F02,SYBR,Cit3,Unkn,J-Cit3,,14.7599568876437,14.7599568876437,0,NaN,NaN,NaN,0,72,
,F03,SYBR,Cit3,Unkn,J-Cit3,,15.1071272047628,15.1071272047628,0,NaN,NaN,NaN,0,72,
,F04,SYBR,mCh,Unkn,J-Cit3,,15.0126191894474,15.0126191894474,0,NaN,NaN,NaN,0,72,
,F05,SYBR,mCh,Unkn,J-Cit3,,14.9305467644398,14.9305467644398,0,NaN,NaN,NaN,0,72,
,F06,SYBR,mCh,Unkn,J-Cit3,,14.9108290405007,14.9108290405007,0,NaN,NaN,NaN,0,72,
,F07,SYBR,Cit6,Unkn,J-Cit6,,15.2051557710833,15.2051557710833,0,NaN,NaN,NaN,0,72,
,F08,SYBR,Cit6,Unkn,J-Cit6,,15.1319960536278,15.1319960536278,0,NaN,NaN,NaN,0,72,
,F09,SYBR,Cit6,Unkn,J-Cit6,,15.224583910036,15.224583910036,0,NaN,NaN,NaN,0,72,
,F10,SYBR,mCh,Unkn,J-Cit6,,14.6856016362295,14.6856016362295,0,NaN,NaN,NaN,0,72,
,F11,SYBR,mCh,Unkn,J-Cit6,,14.498723680837,14.498723680837,0,NaN,NaN,NaN,0,72,
,F12,SYBR,mCh,Unkn,J-Cit6,,14.601984609274,14.601984609274,0,NaN,NaN,NaN,0,72,
,H01,SYBR,Cit3,NTC,NTC,,33.8969000652915,33.8969000652915,0,NaN,NaN,NaN,0,72,
,H02,SYBR,Cit3,NTC,NTC,,32.5841154275749,32.5841154275749,0,NaN,NaN,NaN,0,72,
,H03,SYBR,Cit3,NTC,NTC,,32.8174948020465,32.8174948020465,0,NaN,NaN,NaN,0,72,
,H04,SYBR,Cit6,NTC,NTC,,23.7067959595001,23.7067959595001,0,NaN,NaN,NaN,0,72,
,H05,SYBR,Cit6,NTC,NTC,,23.2837399949803,23.2837399949803,0,NaN,NaN,NaN,0,72,
,H06,SYBR,Cit6,NTC,NTC,,21.607325412711,21.607325412711,0,NaN,NaN,NaN,0,72,
,H07,SYBR,mCh,NTC,NTC,,NaN,0,0,NaN,NaN,0,0,72,
,H08,SYBR,mCh,NTC,NTC,,NaN,0,0,NaN,NaN,0,0,72,
,H09,SYBR,mCh,NTC,NTC,,NaN,0,0,NaN,NaN,0,0,72,
