.id,area,n
Specimen_001_A1_A01.fcs,area 1,581
Specimen_001_A1_A01.fcs,area 2,455
Specimen_001_A1_A01.fcs,area 3,6756
Specimen_001_A1_A01.fcs,area 4,1282
Specimen_001_A1_A01.fcs,area 5,1034
Specimen_001_A1_A01.fcs,area 6,1762
Specimen_001_A10_A10.fcs,area 1,8309
Specimen_001_A10_A10.fcs,area 2,207
Specimen_001_A10_A10.fcs,area 3,577
Specimen_001_A10_A10.fcs,area 4,104
Specimen_001_A11_A11.fcs,area 1,360
Specimen_001_A11_A11.fcs,area 2,9214
Specimen_001_A11_A11.fcs,area 3,146
Specimen_001_A11_A11.fcs,area 4,278
Specimen_001_A11_A11.fcs,area 5,260
Specimen_001_A12_A12.fcs,area 1,37417
Specimen_001_A12_A12.fcs,area 2,206
Specimen_001_A12_A12.fcs,area 3,188
Specimen_001_A12_A12.fcs,area 4,43
Specimen_001_A12_A12.fcs,area 5,34
Specimen_001_A12_A12.fcs,area 6,68
Specimen_001_A12_A12.fcs,area 7,15
Specimen_001_A2_A02.fcs,area 1,15
Specimen_001_A2_A02.fcs,area 2,11073
Specimen_001_A2_A02.fcs,area 3,6642
Specimen_001_A2_A02.fcs,area 4,2187
Specimen_001_A2_A02.fcs,area 5,192
Specimen_001_A2_A02.fcs,area 6,113
Specimen_001_A3_A03.fcs,area 1,6801
Specimen_001_A3_A03.fcs,area 2,3827
Specimen_001_A3_A03.fcs,area 3,782
Specimen_001_A3_A03.fcs,area 4,334
Specimen_001_A3_A03.fcs,area 5,83
Specimen_001_A4_A04.fcs,area 1,328
Specimen_001_A4_A04.fcs,area 2,712
Specimen_001_A4_A04.fcs,area 3,101
Specimen_001_A4_A04.fcs,area 4,6324
Specimen_001_A4_A04.fcs,area 5,846
Specimen_001_A4_A04.fcs,area 6,778
Specimen_001_A4_A04.fcs,area 7,945
Specimen_001_A4_A04.fcs,area 8,265
Specimen_001_A5_A05.fcs,area 1,6528
Specimen_001_A5_A05.fcs,area 2,152
Specimen_001_A5_A05.fcs,area 3,2660
Specimen_001_A5_A05.fcs,area 4,71
Specimen_001_A6_A06.fcs,area 1,10315
Specimen_001_A6_A06.fcs,area 2,3001
Specimen_001_A6_A06.fcs,area 3,190
Specimen_001_A6_A06.fcs,area 4,150
Specimen_001_A7_A07.fcs,area 1,58
Specimen_001_A7_A07.fcs,area 2,36
Specimen_001_A7_A07.fcs,area 3,7432
Specimen_001_A7_A07.fcs,area 4,271
Specimen_001_A7_A07.fcs,area 5,1090
Specimen_001_A7_A07.fcs,area 6,36
Specimen_001_A7_A07.fcs,area 7,882
Specimen_001_A7_A07.fcs,area 8,210
Specimen_001_A7_A07.fcs,area 9,34
Specimen_001_A8_A08.fcs,area 1,352
Specimen_001_A8_A08.fcs,area 2,438
Specimen_001_A8_A08.fcs,area 3,11100
Specimen_001_A8_A08.fcs,area 4,122
Specimen_001_A9_A09.fcs,area 1,11070
Specimen_001_A9_A09.fcs,area 2,451
Specimen_001_B1_B01.fcs,area 1,8078
Specimen_001_B1_B01.fcs,area 2,763
Specimen_001_B1_B01.fcs,area 3,1300
Specimen_001_B1_B01.fcs,area 4,572
Specimen_001_B1_B01.fcs,area 5,8
Specimen_001_B10_B10.fcs,area 1,461
Specimen_001_B10_B10.fcs,area 2,10950
Specimen_001_B10_B10.fcs,area 3,80
Specimen_001_B11_B11.fcs,area 1,9425
Specimen_001_B11_B11.fcs,area 2,129
Specimen_001_B11_B11.fcs,area 3,273
Specimen_001_B12_B12.fcs,area 1,830
Specimen_001_B12_B12.fcs,area 2,11468
Specimen_001_B12_B12.fcs,area 3,188
Specimen_001_B12_B12.fcs,area 4,53
Specimen_001_B2_B02.fcs,area 1,7907
Specimen_001_B2_B02.fcs,area 2,63
Specimen_001_B2_B02.fcs,area 3,1256
Specimen_001_B2_B02.fcs,area 4,143
Specimen_001_B3_B03.fcs,area 1,10539
Specimen_001_B3_B03.fcs,area 2,113
Specimen_001_B3_B03.fcs,area 3,1667
Specimen_001_B3_B03.fcs,area 4,237
Specimen_001_B3_B03.fcs,area 5,1262
Specimen_001_B4_B04.fcs,area 1,8130
Specimen_001_B4_B04.fcs,area 2,54
Specimen_001_B4_B04.fcs,area 3,1022
Specimen_001_B4_B04.fcs,area 4,74
Specimen_001_B4_B04.fcs,area 5,51
Specimen_001_B5_B05.fcs,area 1,7501
Specimen_001_B5_B05.fcs,area 2,440
Specimen_001_B5_B05.fcs,area 3,2620
Specimen_001_B5_B05.fcs,area 4,788
Specimen_001_B5_B05.fcs,area 5,45
Specimen_001_B6_B06.fcs,area 1,7537
Specimen_001_B6_B06.fcs,area 2,116
Specimen_001_B6_B06.fcs,area 3,2818
Specimen_001_B6_B06.fcs,area 4,35
Specimen_001_B7_B07.fcs,area 1,9308
Specimen_001_B7_B07.fcs,area 2,81
Specimen_001_B7_B07.fcs,area 3,223
Specimen_001_B8_B08.fcs,area 1,697
Specimen_001_B8_B08.fcs,area 2,9975
Specimen_001_B8_B08.fcs,area 3,101
Specimen_001_B9_B09.fcs,area 1,245
Specimen_001_B9_B09.fcs,area 2,10101
Specimen_001_B9_B09.fcs,area 3,145
Specimen_001_B9_B09.fcs,area 4,46
Specimen_001_C1_C01.fcs,area 1,10316
Specimen_001_C1_C01.fcs,area 2,214
Specimen_001_C1_C01.fcs,area 3,433
Specimen_001_C1_C01.fcs,area 4,787
Specimen_001_C10_C10.fcs,area 1,4304
Specimen_001_C10_C10.fcs,area 2,3618
Specimen_001_C11_C11.fcs,area 1,9580
Specimen_001_C11_C11.fcs,area 2,4481
Specimen_001_C11_C11.fcs,area 3,73
Specimen_001_C12_C12.fcs,area 1,7674
Specimen_001_C12_C12.fcs,area 2,3554
Specimen_001_C12_C12.fcs,area 3,90
Specimen_001_C12_C12.fcs,area 4,125
Specimen_001_C12_C12.fcs,area 5,44
Specimen_001_C2_C02.fcs,area 1,8620
Specimen_001_C2_C02.fcs,area 2,73
Specimen_001_C2_C02.fcs,area 3,1835
Specimen_001_C2_C02.fcs,area 4,323
Specimen_001_C3_C03.fcs,area 1,5
Specimen_001_C3_C03.fcs,area 2,5245
Specimen_001_C3_C03.fcs,area 3,475
Specimen_001_C3_C03.fcs,area 4,5170
Specimen_001_C3_C03.fcs,area 5,746
Specimen_001_C3_C03.fcs,area 6,188
Specimen_001_C4_C04.fcs,area 1,8923
Specimen_001_C4_C04.fcs,area 2,2719
Specimen_001_C4_C04.fcs,area 3,149
Specimen_001_C5_C05.fcs,area 1,7653
Specimen_001_C5_C05.fcs,area 2,68
Specimen_001_C5_C05.fcs,area 3,2619
Specimen_001_C5_C05.fcs,area 4,1109
Specimen_001_C6_C06.fcs,area 1,82
Specimen_001_C6_C06.fcs,area 2,7402
Specimen_001_C6_C06.fcs,area 3,1599
Specimen_001_C6_C06.fcs,area 4,116
Specimen_001_C7_C07.fcs,area 1,2
Specimen_001_C7_C07.fcs,area 2,3921
Specimen_001_C7_C07.fcs,area 3,218
Specimen_001_C7_C07.fcs,area 4,700
Specimen_001_C7_C07.fcs,area 5,1759
Specimen_001_C7_C07.fcs,area 6,95
Specimen_001_C7_C07.fcs,area 7,19
Specimen_001_C7_C07.fcs,area 8,14
Specimen_001_C8_C08.fcs,area 1,10049
Specimen_001_C8_C08.fcs,area 2,4775
Specimen_001_C8_C08.fcs,area 3,145
Specimen_001_C8_C08.fcs,area 4,106
Specimen_001_C8_C08.fcs,area 5,19
Specimen_001_C8_C08.fcs,area 6,107
Specimen_001_C8_C08.fcs,area 7,80
Specimen_001_C9_C09.fcs,area 1,3727
Specimen_001_C9_C09.fcs,area 2,7993
Specimen_001_C9_C09.fcs,area 3,66
Specimen_001_C9_C09.fcs,area 4,244
Specimen_001_C9_C09.fcs,area 5,134
Specimen_001_C9_C09.fcs,area 6,71
Specimen_001_D1_D01.fcs,area 1,370
Specimen_001_D1_D01.fcs,area 2,645
Specimen_001_D1_D01.fcs,area 3,6709
Specimen_001_D1_D01.fcs,area 4,1512
Specimen_001_D1_D01.fcs,area 5,240
Specimen_001_D10_D10.fcs,area 1,8189
Specimen_001_D10_D10.fcs,area 2,976
Specimen_001_D10_D10.fcs,area 3,2986
Specimen_001_D10_D10.fcs,area 4,875
Specimen_001_D11_D11.fcs,area 1,7533
Specimen_001_D11_D11.fcs,area 2,5591
Specimen_001_D12_D12.fcs,area 1,9365
Specimen_001_D12_D12.fcs,area 2,3576
Specimen_001_D12_D12.fcs,area 3,30
Specimen_001_D2_D02.fcs,area 1,6548
Specimen_001_D2_D02.fcs,area 2,474
Specimen_001_D2_D02.fcs,area 3,1473
Specimen_001_D2_D02.fcs,area 4,1272
Specimen_001_D2_D02.fcs,area 5,59
Specimen_001_D3_D03.fcs,area 1,76
Specimen_001_D3_D03.fcs,area 2,73
Specimen_001_D3_D03.fcs,area 3,6355
Specimen_001_D3_D03.fcs,area 4,1492
Specimen_001_D3_D03.fcs,area 5,2010
Specimen_001_D4_D04.fcs,area 1,417
Specimen_001_D4_D04.fcs,area 2,7209
Specimen_001_D4_D04.fcs,area 3,410
Specimen_001_D4_D04.fcs,area 4,454
Specimen_001_D4_D04.fcs,area 5,500
Specimen_001_D5_D05.fcs,area 1,808
Specimen_001_D5_D05.fcs,area 2,335
Specimen_001_D5_D05.fcs,area 3,7469
Specimen_001_D5_D05.fcs,area 4,57
Specimen_001_D5_D05.fcs,area 5,213
Specimen_001_D6_D06.fcs,area 1,186
Specimen_001_D6_D06.fcs,area 2,369
Specimen_001_D6_D06.fcs,area 3,8334
Specimen_001_D7_D07.fcs,area 1,11859
Specimen_001_D7_D07.fcs,area 2,1615
Specimen_001_D7_D07.fcs,area 3,144
Specimen_001_D8_D08.fcs,area 1,10246
Specimen_001_D8_D08.fcs,area 2,2885
Specimen_001_D8_D08.fcs,area 3,457
Specimen_001_D8_D08.fcs,area 4,17
Specimen_001_D9_D09.fcs,area 1,11045
Specimen_001_D9_D09.fcs,area 2,3131
Specimen_001_D9_D09.fcs,area 3,99
Specimen_001_D9_D09.fcs,area 4,19
Specimen_001_E1_E01.fcs,area 1,9
Specimen_001_E1_E01.fcs,area 10,61
Specimen_001_E1_E01.fcs,area 11,60
Specimen_001_E1_E01.fcs,area 12,55
Specimen_001_E1_E01.fcs,area 13,21
Specimen_001_E1_E01.fcs,area 14,27
Specimen_001_E1_E01.fcs,area 15,9
Specimen_001_E1_E01.fcs,area 16,12
Specimen_001_E1_E01.fcs,area 17,1
Specimen_001_E1_E01.fcs,area 2,36919
Specimen_001_E1_E01.fcs,area 3,285
Specimen_001_E1_E01.fcs,area 4,4
Specimen_001_E1_E01.fcs,area 5,146
Specimen_001_E1_E01.fcs,area 6,1
Specimen_001_E1_E01.fcs,area 7,18
Specimen_001_E1_E01.fcs,area 8,631
Specimen_001_E1_E01.fcs,area 9,190
Specimen_001_E10_E10.fcs,area 1,4624
Specimen_001_E10_E10.fcs,area 2,75
Specimen_001_E10_E10.fcs,area 3,269
Specimen_001_E10_E10.fcs,area 4,83
Specimen_001_E10_E10.fcs,area 5,1607
Specimen_001_E10_E10.fcs,area 6,7514
Specimen_001_E11_E11.fcs,area 1,4568
Specimen_001_E11_E11.fcs,area 2,808
Specimen_001_E11_E11.fcs,area 3,259
Specimen_001_E11_E11.fcs,area 4,299
Specimen_001_E11_E11.fcs,area 5,8049
Specimen_001_E12_E12.fcs,area 1,5751
Specimen_001_E12_E12.fcs,area 2,508
Specimen_001_E12_E12.fcs,area 3,326
Specimen_001_E12_E12.fcs,area 4,8215
Specimen_001_E2_E02.fcs,area 1,718
Specimen_001_E2_E02.fcs,area 2,305
Specimen_001_E2_E02.fcs,area 3,6727
Specimen_001_E2_E02.fcs,area 4,1056
Specimen_001_E2_E02.fcs,area 5,472
Specimen_001_E2_E02.fcs,area 6,50
Specimen_001_E3_E03.fcs,area 1,321
Specimen_001_E3_E03.fcs,area 2,6618
Specimen_001_E3_E03.fcs,area 3,2374
Specimen_001_E3_E03.fcs,area 4,166
Specimen_001_E3_E03.fcs,area 5,579
Specimen_001_E4_E04.fcs,area 1,36121
Specimen_001_E4_E04.fcs,area 10,8
Specimen_001_E4_E04.fcs,area 11,97
Specimen_001_E4_E04.fcs,area 12,47
Specimen_001_E4_E04.fcs,area 13,44
Specimen_001_E4_E04.fcs,area 14,14
Specimen_001_E4_E04.fcs,area 15,14
Specimen_001_E4_E04.fcs,area 16,3
Specimen_001_E4_E04.fcs,area 2,313
Specimen_001_E4_E04.fcs,area 3,17
Specimen_001_E4_E04.fcs,area 4,7
Specimen_001_E4_E04.fcs,area 5,2
Specimen_001_E4_E04.fcs,area 6,55
Specimen_001_E4_E04.fcs,area 7,319
Specimen_001_E4_E04.fcs,area 8,879
Specimen_001_E4_E04.fcs,area 9,137
Specimen_001_E5_E05.fcs,area 1,1123
Specimen_001_E5_E05.fcs,area 2,66
Specimen_001_E5_E05.fcs,area 3,9117
Specimen_001_E5_E05.fcs,area 4,289
Specimen_001_E5_E05.fcs,area 5,100
Specimen_001_E5_E05.fcs,area 6,260
Specimen_001_E6_E06.fcs,area 1,16068
Specimen_001_E6_E06.fcs,area 2,97
Specimen_001_E6_E06.fcs,area 3,5054
Specimen_001_E6_E06.fcs,area 4,1087
Specimen_001_E7_E07.fcs,area 1,4304
Specimen_001_E7_E07.fcs,area 2,586
Specimen_001_E7_E07.fcs,area 3,1123
Specimen_001_E7_E07.fcs,area 4,1615
Specimen_001_E7_E07.fcs,area 5,6041
Specimen_001_E8_E08.fcs,area 1,6
Specimen_001_E8_E08.fcs,area 10,277
Specimen_001_E8_E08.fcs,area 11,30
Specimen_001_E8_E08.fcs,area 12,29
Specimen_001_E8_E08.fcs,area 13,241
Specimen_001_E8_E08.fcs,area 14,328
Specimen_001_E8_E08.fcs,area 15,11
Specimen_001_E8_E08.fcs,area 16,1
Specimen_001_E8_E08.fcs,area 17,23
Specimen_001_E8_E08.fcs,area 18,317
Specimen_001_E8_E08.fcs,area 19,196
Specimen_001_E8_E08.fcs,area 2,29004
Specimen_001_E8_E08.fcs,area 20,70
Specimen_001_E8_E08.fcs,area 21,3
Specimen_001_E8_E08.fcs,area 22,2
Specimen_001_E8_E08.fcs,area 23,8
Specimen_001_E8_E08.fcs,area 24,10
Specimen_001_E8_E08.fcs,area 3,228
Specimen_001_E8_E08.fcs,area 4,910
Specimen_001_E8_E08.fcs,area 5,352
Specimen_001_E8_E08.fcs,area 6,3
Specimen_001_E8_E08.fcs,area 7,4
Specimen_001_E8_E08.fcs,area 8,4
Specimen_001_E8_E08.fcs,area 9,16
Specimen_001_E9_E09.fcs,area 1,4417
Specimen_001_E9_E09.fcs,area 2,239
Specimen_001_E9_E09.fcs,area 3,75
Specimen_001_E9_E09.fcs,area 4,67
Specimen_001_E9_E09.fcs,area 5,1353
Specimen_001_E9_E09.fcs,area 6,6391
Specimen_001_F1_F01.fcs,area 1,1255
Specimen_001_F1_F01.fcs,area 2,6955
Specimen_001_F1_F01.fcs,area 3,83
Specimen_001_F1_F01.fcs,area 4,1740
Specimen_001_F10_F10.fcs,area 1,10592
Specimen_001_F10_F10.fcs,area 2,1950
Specimen_001_F11_F11.fcs,area 1,2412
Specimen_001_F11_F11.fcs,area 2,10121
Specimen_001_F11_F11.fcs,area 3,86
Specimen_001_F12_F12.fcs,area 1,2539
Specimen_001_F12_F12.fcs,area 2,2805
Specimen_001_F12_F12.fcs,area 3,7527
Specimen_001_F2_F02.fcs,area 1,2131
Specimen_001_F2_F02.fcs,area 2,205
Specimen_001_F2_F02.fcs,area 3,7046
Specimen_001_F2_F02.fcs,area 4,708
Specimen_001_F2_F02.fcs,area 5,236
Specimen_001_F3_F03.fcs,area 1,8067
Specimen_001_F3_F03.fcs,area 2,94
Specimen_001_F3_F03.fcs,area 3,2213
Specimen_001_F3_F03.fcs,area 4,746
Specimen_001_F4_F04.fcs,area 1,710
Specimen_001_F4_F04.fcs,area 2,2279
Specimen_001_F4_F04.fcs,area 3,6268
Specimen_001_F4_F04.fcs,area 4,95
Specimen_001_F5_F05.fcs,area 1,904
Specimen_001_F5_F05.fcs,area 2,1292
Specimen_001_F5_F05.fcs,area 3,8674
Specimen_001_F5_F05.fcs,area 4,52
Specimen_001_F6_F06.fcs,area 1,736
Specimen_001_F6_F06.fcs,area 2,291
Specimen_001_F6_F06.fcs,area 3,8040
Specimen_001_F6_F06.fcs,area 4,1324
Specimen_001_F6_F06.fcs,area 5,113
Specimen_001_F7_F07.fcs,area 1,12351
Specimen_001_F7_F07.fcs,area 2,2133
Specimen_001_F8_F08.fcs,area 1,12235
Specimen_001_F8_F08.fcs,area 2,2145
Specimen_001_F8_F08.fcs,area 3,46
Specimen_001_F8_F08.fcs,area 4,65
Specimen_001_F9_F09.fcs,area 1,2542
Specimen_001_F9_F09.fcs,area 2,12318
Specimen_001_G1_G01.fcs,area 1,54
Specimen_001_G1_G01.fcs,area 2,9241
Specimen_001_G1_G01.fcs,area 3,3247
Specimen_001_G10_G10.fcs,area 1,9361
Specimen_001_G10_G10.fcs,area 2,4654
Specimen_001_G10_G10.fcs,area 3,316
Specimen_001_G11_G11.fcs,area 1,14982
Specimen_001_G11_G11.fcs,area 2,21
Specimen_001_G12_G12.fcs,area 1,9804
Specimen_001_G12_G12.fcs,area 2,4949
Specimen_001_G12_G12.fcs,area 3,624
Specimen_001_G12_G12.fcs,area 4,59
Specimen_001_G12_G12.fcs,area 5,97
Specimen_001_G2_G02.fcs,area 1,57
Specimen_001_G2_G02.fcs,area 10,86
Specimen_001_G2_G02.fcs,area 11,248
Specimen_001_G2_G02.fcs,area 12,118
Specimen_001_G2_G02.fcs,area 13,27
Specimen_001_G2_G02.fcs,area 14,235
Specimen_001_G2_G02.fcs,area 15,86
Specimen_001_G2_G02.fcs,area 16,54
