,01,02,03,04,05,06,07,08,09,10,11,12
A,HO-Citmin-A-1,HO-Citmin-B-1,HO-Citmin-C-1,HO-Cit9-A-1,HO-Cit9-B-1,HO-Cit9-C-1,HO-Citmin-A-1,HO-Citmin-B-1,HO-Citmin-C-1,HO-Cit9-A-1,HO-Cit9-B-1,HO-Cit9-C-1
B,HO-Citmin-A-2,HO-Citmin-B-2,HO-Citmin-C-2,HO-Cit9-A-2,HO-Cit9-B-2,HO-Cit9-C-2,HO-Citmin-A-2,HO-Citmin-B-2,HO-Citmin-C-2,HO-Cit9-A-2,HO-Cit9-B-2,HO-Cit9-C-2
C,HO-Citmin-A-3,HO-Citmin-B-3,HO-Citmin-C-3,HO-Cit9-A-3,HO-Cit9-B-3,HO-Cit9-C-3,HO-Citmin-A-3,HO-Citmin-B-3,HO-Citmin-C-3,HO-Cit9-A-3,HO-Cit9-B-3,HO-Cit9-C-3
D,RPG1-Citmin-A-1,RPG1-Citmin-B-1,RPG1-Citmin-C-1,RPG1-Cit9-A-1,RPG1-Cit9-B-1,RPG1-Cit9-C-1,RPG1-Citmin-A-1,RPG1-Citmin-B-1,RPG1-Citmin-C-1,RPG1-Cit9-A-1,RPG1-Cit9-B-1,RPG1-Cit9-C-1
E,RPG1-Citmin-A-2,RPG1-Citmin-B-2,RPG1-Citmin-C-2,RPG1-Cit9-A-2,RPG1-Cit9-B-2,RPG1-Cit9-C-2,RPG1-Citmin-A-2,RPG1-Citmin-B-2,RPG1-Citmin-C-2,RPG1-Cit9-A-2,RPG1-Cit9-B-2,RPG1-Cit9-C-2
F,RPG1-Citmin-A-3,RPG1-Citmin-B-3,RPG1-Citmin-C-3,RPG1-Cit9-A-3,RPG1-Cit9-B-3,RPG1-Cit9-C-3,RPG1-Citmin-A-3,RPG1-Citmin-B-3,RPG1-Citmin-C-3,RPG1-Cit9-A-3,RPG1-Cit9-B-3,RPG1-Cit9-C-3
G,NTC-NTC-NTC-1,NTC-NTC-NTC-1,NTC-NTC-NTC-1,NTC-NTC-NTC-2,NTC-NTC-NTC-2,NTC-NTC-NTC-2,NTC-NTC-NTC-3,NTC-NTC-NTC-3,NTC-NTC-NTC-3,,,
H,,,,,,,,,,,,
