,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9
,1,1.74774043163416,-6.57038953155961,-13.5144763900616,-4.31532078551891,-16.2855773712931,-2.69400205969032,0.412065226413688,-0.916176401579833,-3.81856958877825,-2.90665887931891,-2.50242953319002,-0.129545737792341,-7.86302058311549,2.38449648174037,6.44990479621356,1.78573891779479,-2.23751169276329,-3.41050515016104,-0.433141225678355,-3.25376876473092,2.9905871672504,9.19977183032961,-2.68698226625338,2.67730261743418,-8.45116389830582,-1.88863544292326,2.45132789462059,-2.96311177418556,-0.924497841541779,-2.37972557347575,0.200137939875276,1.70678979110608,4.55236877895049,1.19382078771832,8.1830026352186,-7.22248036655947,-2.96316987286491,3.51939165416661,-20.3977748629441,3.52176547607496,1.40642553815178,-1.82736250747212,-0.229143313949407,0.743511989611761,-5.02711963061893,5.16881659152659,2.9672657762294,5.12402765789466,-4.11115495793729,2.39111333437768,5.79158583438038,2.44349074225102,-3.30082350612156,-3.82837924610794,4.92360410243009,3.45358049504966,4.33382279257285,5.19071342901361,3.55356832031748,-5.16723200268325,-2.39558699323834,-4.3922150216531,18.9700508415112,1.55866872710112,-3.02366720595455,-2.04956868219961,0.244836540470715,-0.51501471686197,-1.53989674276545,6.28718741658713,7.55511822527615,-1.61236355472511,-17.7828557133384,-9.88572383968312,-8.18850416876649,-6.75153737999972,-4.54525620610775,-0.108122680109318,-5.31156450541812,-5.46235937631491,-4.3921068801792
,2,0.464712839507683,-4.95400926674893,-1.13270404580453,-1.20185393811516,-2.40257476787701,-3.1021183678381,-3.63295211997365,1.02208247834415,5.16169867117696,-5.56406029954087,-0.551458186672789,-8.89204947836151,-6.58246379051297,-1.07579251388597,8.42612549622527,-0.548911967591721,-0.414673194920397,-1.86831903389611,-0.904197745706369,3.72544542465903,1.40930406347843,4.63306461668662,-5.68127837237307,-1.00995970898248,-5.55722172332526,-1.23040182593559,-1.45116336038973,0.736195371744998,4.76029500802179,-1.19160662237118,4.19621119099611,0.165061426513148,1.18078811684973,4.12985377664199,7.15201703309367,1.36316781124515,-4.37910334798335,2.19410769899605,-17.1086607742759,6.28334106117609,0.547722852106745,6.03888736278395,2.43949400895281,2.07081036035788,-6.5966127818624,-1.51387230240061,0.350972860966976,2.22177943981706,3.74029782724347,2.65639960161388,5.5379526565348,1.78841942251847,1.17174879352297,1.84532330614093,4.03294887795255,4.27742567489304,3.83977110631668,13.3195276852953,-3.81585460369661,-2.66867537381268,-0.667809955491066,-0.887013005494282,9.63164479093211,-0.154456455716627,2.67230535665703,-2.2696840839003,3.4359221520358,5.32365631108587,2.47557899757021,0.0128875868831528,4.04375890052279,-2.1034608012701,-8.86846508843882,-3.08854221091133,-7.37231700965685,-8.41288056412895,-4.6170855088244,4.54545301769076,-6.09194287497075,0.332101194609095,-5.59568248610776
,3,0.268264212380927,-0.557479761180275,5.21939257295435,1.62951440381403,-0.565532111918856,3.40691985337344,-0.113581238141251,0.137972183444617,-1.74760646086406,-0.140376484863282,0.457215465106856,1.8200336974428,0.962510829110215,0.436245658673215,1.20518156982826,1.66531320250215,1.04901610059687,1.05482896967897,3.33330047582513,-2.28903279132464,0.542086811653462,2.04018230847441,0.580012753320716,3.51325445435532,-2.8803714506289,0.042028681724787,0.71423823794612,-0.196542503832461,3.44150090558514,1.20983426171097,-0.442354717702528,0.190199004598981,5.56655993215554,-3.68474280467399,4.03139256988288,0.850697300973934,2.23014579994879,0.88891879228413,-2.73698057680303,6.62784643319219,0.409279255358797,0.895714232470255,1.23075125784999,5.00378292345158,1.51095249338914,0.705293152121612,0.838952603558937,0.426468629611463,0.421399126811593,2.76952037425372,2.070329096769,1.43573952458246,0.275374741208452,-0.711595106137793,3.53452214143681,0.674356249786797,4.08937269900343,0.338329227072336,1.68291262405546,0.867499407641844,0.168434968064503,1.29451420953956,3.39197582951465,1.04515691828965,5.05025707635923,5.46870107476616,-0.794728937186846,0.139444589507548,2.50868045484731,2.17372756470877,5.02084589419519,1.74607578759515,-9.35502428020345,-5.1213849458718,-6.18496251195393,-6.66954387902751,-6.41050742765037,4.2502898780881,-3.53344208468434,-1.61031551923361,-3.52809579298219
,4,1.04408349416735,2.7582124728624,-0.396831447665136,3.00920339808044,3.92524944509023,-0.159492955102905,3.87464800144562,0.743848874754804,1.62624627279138,-1.04637654804492,1.59088801349844,-2.50588635881741,3.50184259678099,-0.237287695311807,0.10831214090058,-0.517828843474035,-0.861201851941132,3.07949529362213,-1.34172379816118,1.40252069580401,0.329091732127381,3.08937711912904,3.58108744604169,-0.210532527858504,2.61526601935202,-0.152084054468105,2.39453520377037,4.3186090112772,2.82725401107336,1.98313700646622,4.24536308290635,3.26007359953837,2.12112525362954,3.78007386401396,0.51580947403545,4.35633475732311,-0.293230334907093,-0.245141646312732,2.27286072772722,-1.01226383003541,4.03516728092063,0.414966626382011,3.09757062962944,1.77809482491057,-1.60859333428334,3.58585430874064,-1.14542818007794,3.72186824782011,3.56257211039383,1.55938445270613,2.69475466805443,3.96432674016251,3.03702101075714,0.14257576596583,2.41944226169198,2.01514983277275,1.77597473941978,5.2124630791659,0.381783814734717,3.16502533162156,4.82612545774919,2.65635411704761,3.75809037620911,1.32139310468483,-1.65027555907636,-4.26172787032283,2.19451612820694,2.47483797221594,0.666067830581596,1.01846089458195,2.87864308045664,-0.0842676610841409,-7.16093887724219,-4.52112225812743,-2.44837360200791,-5.98107600854564,-0.0610345163172497,4.02878224403048,-3.60213439751442,0.713948537932083,-0.350052410532044
,5,1.59992517870023,0.220496278371684,2.02199847273005,-0.403998065195992,2.12611511741989,0.573237465773673,0.28368587547493,3.17067134842864,4.64874133239891,2.56164591369225,-1.71306957557181,3.98584601584571,1.00196236785359,0.782150535559595,4.18281880556742,-1.58607162230419,2.11641835083037,0.585694919957405,-1.75634015302194,2.58356237797761,-0.179403430191087,4.04161626222003,-1.04663144423148,0.0981827220293781,3.1905967808184,3.47689860999617,0.364664714040828,0.753984112413946,0.967455607740703,-0.716232365666656,2.33861637621294,1.30310122108995,0.765154174155214,1.95383882069336,3.36148772685829,-2.36059857614373,-0.0606590698444052,3.29052168242333,3.96826383888674,0.0642673782717793,0.937689510704786,2.1763796877749,-1.69672662360927,-1.64800553172745,2.16263540499313,3.89388351667276,2.81087539056716,-0.797797240035379,2.99227340977768,4.21586282502949,2.50984048900682,-2.66262552699072,1.40192513802276,1.5032397731411,-0.609189403382061,1.08376910423567,-2.89319778849267,-0.222352196002248,1.87537383328663,-1.03659797832006,-0.775974794769809,-0.377019129283326,0.0266123909168527,1.56804512335702,-1.46998803669931,-0.243779313501364,1.55860578293232,1.86566645496987,3.10900076141934,0.582168581262977,1.58167649262759,1.25628864985947,-4.33835222129437,-4.18476375546425,-0.910668242331212,-2.26010072574627,1.06705383014742,-3.24484934683369,-1.0783863414722,2.95242954605965,-1.67467729761665
,6,1.03288238816731,0.938025868103068,2.18516055831606,-1.44508713156438,4.83346482414981,4.19207413094682,0.376533169057439,-0.604732408057771,2.21299105543949,4.61378819686388,3.39976775102105,4.75440719961762,-2.9801498315046,1.10514861644106,0.203122603035808,1.66423170780899,1.58445140158165,-0.60623826357596,1.30906399427568,3.92281191439952,3.13415921562591,2.29635349518912,-1.77361969254025,1.8535698381711,2.56651333211312,2.28953109931808,-1.02142613903879,1.81941369445394,-0.852713351380316,1.17087682405463,1.2523136737077,-0.336663899372979,0.823522457088529,0.921964965335064,-4.94271291353334,1.47185690027936,4.11180884051873,-1.07076087175528,6.60133529811765,-4.75658134706055,-2.35060586208192,0.665470011919297,3.07136239383408,0.0524711059329093,2.78563709974105,-0.750241972884851,2.13609027903658,0.704109207137208,2.0983580705697,1.14504291937419,0.581347851755254,0.0956542878984692,-1.87137725541788,2.77058588394675,2.11259390022497,4.76040064358858,1.52937283765459,-0.0716226151575938,1.84249397158737,3.507375928491,1.91272767253213,-0.807838619839913,-0.526187238969669,1.36396459598654,1.05617716839151,3.73694884060751,2.29899439975634,0.34194086715388,-0.371493729067424,-0.369091479024974,-0.22377163495139,-0.940052411164288,-1.04670421752689,-1.66528680291685,-3.00184596792224,0.795755846087104,0.685613918166837,-0.27958867878624,-0.543339360631762,-0.482630665169381,-1.24228202717723
,7,2.13502634789302,3.69266300955633,-0.260326026915209,1.64250086513402,0.948715608133625,-2.35216404224548,0.795972839443039,3.77769811909093,0.673302982571386,-4.26120413189119,3.7099896786458,-1.96523369576016,1.59139534448332,4.35768720158785,2.69557353279924,0.591859144324189,-0.0632615669060215,1.22944254413915,1.7837429869378,-0.830797948018244,0.182872633287843,-0.730580764503884,2.08335822637127,-0.216068975732924,-0.84985726791183,-0.0800835312606978,1.82618074781567,-0.483971755283619,-0.0642615194210521,2.23475811284789,-2.84639112670584,0.571554288609605,-3.46749621587924,6.04737528855867,1.38962143228537,3.70233890559211,-1.10164586005931,2.77150746108055,3.0177682920089,2.32711853793262,1.89175355906082,0.395021881363391,-2.31664309847565,0.817582448780286,-3.09845967917863,-1.68493464246421,-0.614806249258891,2.89438845121504,-0.134761970508862,-3.23826774263489,-1.43911085460968,3.27699785813502,2.20138829998177,1.84241527601489,-2.58952093620928,-3.85384750316462,0.29236659973958,0.534514915090767,-0.188483961450402,-0.123539986121159,-3.50472592070128,2.10194268833448,1.27117608630306,-1.00719832405957,2.26724994590586,-0.99506826086872,1.85466645923634,-2.60604104546519,-1.09578133392142,-0.600842357586316,1.94463078213084,0.882986911717126,0.29071456638485,-0.193495741336847,1.58587870514248,0.0666968077475758,2.98410149728534,-2.32107706630995,1.68426417582577,0.745906452030795,-0.932552962152386
,8,-1.3208274620647,-0.745121050289981,-3.26213035845194,0.71393638463951,4.23086503655122,-1.40597753312522,-1.40740062798614,-1.25990800826594,-1.47358478480965,1.79394195602617,2.12621767252494,3.3930263207817,0.0868399047426465,0.101075886669605,-1.59181970863756,2.4775649496687,0.0215341594662277,0.233198793906922,2.76863332265293,1.55509038152195,2.89131186205213,-2.64134300039086,-0.22702836676126,1.1128036726991,0.980881704483181,-0.431196654139058,0.168547542365104,-2.25094796779922,-3.76618269246228,-2.98923156765795,-2.58339239143379,-3.56008241324935,-2.05806465496289,-3.36360832143509,-0.13600757467384,0.75580043542368,-1.07969381449811,0.676765040593637,4.58065721515823,4.66607214537589,-2.29927629891745,1.94899337384459,-1.7833762427781,-4.4086795469043,1.62099738200823,-1.74445461287223,-0.590940036812754,-2.3718529325356,-0.449357369689551,-3.04711112180348,-1.35278651942008,-1.64693094318136,-0.973288207426776,0.100149471266832,3.15192912705152,-0.122329912235273,1.3660214642623,1.76468850178708,3.44850810522848,0.980294108068392,-1.49132024346136,1.13839952181252,-0.988340193992826,-0.707292613684785,-2.79568215946529,0.102439352880083,-1.56633741967198,-0.838206062331665,-1.66544969180768,0.869881023438211,-2.17957500957891,2.05834933412825,-0.0135662287570995,-1.69741573120518,-1.52008877787239,2.86239250280732,-2.43702190627346,2.13246307565987,-0.850185891387355,-0.464712614800646,0.332150928014016
,9,0.0033753481156964,-3.96803117813351,-0.247097292699891,-0.879767331966832,-0.780005807909674,-0.813058199095849,3.2054822465625,3.29386471257658,1.79293423739455,-1.67518486611198,-0.875524509766365,-2.89030046672269,0.2517243788011,1.94129161594037,-0.904743505760507,1.92865157082724,-0.655292020533579,-0.121063068708736,-0.339967286347928,0.6814744880121,-0.891752176180944,-1.23156548569114,0.102826873112917,-3.72981084761022,1.23398390539751,-1.45467632978034,1.14122426192171,-1.73225958502871,-0.34042972524594,-2.0706929706771,0.638222984659478,-0.399180060689105,0.944079751591289,-0.374397030482214,0.949120483983734,-3.87802515838575,3.10145038308201,-0.174921854158583,-2.32989058000157,-0.311656240082357,2.18706993984688,-0.722138974136215,1.75706696269845,-0.618872803658178,3.35212198276713,1.73184005129269,3.62186465165632,0.65414253269455,-3.02444408597694,0.285313419562044,-1.86620760190408,1.30215586999975,-1.35913294199509,-1.53818884751536,-3.62799407074272,-0.321595850258745,-2.05442287168989,2.38455657495979,0.326382361968626,-3.21874109220653,1.0114836496241,-1.08852855405848,-3.55628783118618,-0.628638518087428,-0.0885807677518642,-2.00237216169216,-0.700656239982891,0.866978329207996,-3.05488290202129,2.66711779175421,-3.36531448157848,1.4941894138783,2.66303646177221,1.97416185453085,2.05716864455826,-0.908308072927412,1.63740763782289,3.69801629732092,-4.19037249306211,0.846431936348836,3.92526439914764
,10,2.10592916849964,4.11984864665556,-2.53821394110719,-1.03246544394597,0.568100689475614,1.49638176496001,1.02922570676901,-2.55304992965603,-2.16039166449855,1.90564434258113,0.529212457163339,1.55360536362195,3.02314130100785,3.10880284108134,0.708526586635799,-2.67420933847006,-0.194032504425195,-1.07565184697796,0.610674478852616,-0.00205445670235349,0.63604195987682,-2.99869154792987,2.16222928379193,2.57636767916074,-1.60807437886569,0.378573144633265,1.27361510682613,0.576445732881893,-1.32539326339429,0.224050548348259,-1.17818719693742,3.15775629834616,-3.53978929599771,0.829440848995091,4.3161920711832,-0.301502805312794,1.00390566634496,1.41004773969007,2.40788414339568,4.46240561539616,1.59654289119908,-2.43912507564528,2.9951044984864,1.44163779533392,-1.91975303980371,4.57954720146927,-0.248701342424738,3.28855170324869,2.37098785702938,0.870534621481056,1.70694723770157,1.83180169682828,0.906201164135837,-0.638590165683581,2.75134155668638,4.09096676568697,-5.9574839152715,4.34251971786625,1.534598025587,1.36975259950259,3.9736776794839,2.90428222298124,2.86003762247856,-1.61757426932354,-2.19162347937709,0.434533757580994,2.67598811842845,2.8678585437342,1.10741476244266,8.47614965645016,-2.62145903493638,0.526192979833468,3.26051809884302,0.865703181184472,4.90419441866288,1.52787634692913,3.62386893975827,0.755747683895152,1.30611089988633,0.511599525682414,4.3648490364435
