.id,area,n
11-24-21_107-C-c9-SCD_A02.fcs,area 1,9066
11-24-21_107-C-c9-SCD_A02.fcs,area 2,50
11-24-21_107-C-c9-SCD_A02.fcs,area 3,730
11-24-21_107-C-c9-SCD_A02.fcs,area 4,57
11-24-21_107-C-c9-SCD_A02.fcs,area 5,437
11-24-21_107-C-c9-tet_A04.fcs,area 1,9310
11-24-21_107-C-c9-tet_A04.fcs,area 2,78
11-24-21_107-C-c9-tet_A04.fcs,area 3,79
11-24-21_107-C-c9-tet_A04.fcs,area 4,76
11-24-21_107-C-ci-SCD_A01.fcs,area 1,11374
11-24-21_107-C-ci-SCD_A01.fcs,area 2,1609
11-24-21_107-C-ci-tet_A03.fcs,area 1,8181
11-24-21_107-C-ci-tet_A03.fcs,area 2,200
11-24-21_107-C-ci-tet_A03.fcs,area 3,67
11-24-21_BY4743-wt-wt-SCD_A05.fcs,area 1,10165
11-24-21_BY4743-wt-wt-SCD_A05.fcs,area 2,214
11-24-21_BY4743-wt-wt-tet_A06.fcs,area 1,11135
11-24-21_BY4743-wt-wt-tet_A06.fcs,area 2,675
11-24-21_BY4743-wt-wt-tet_A06.fcs,area 3,78
11-24-21_BY4743-wt-wt-tet_A06.fcs,area 4,141
