,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,H1,H2,H3,H4,H5,H6,H7,H8,H9
,1,-4.08815955442105,-13.8080785085458,-4.96102946924293,-3.6525856224298,-47.3056654275661,-13.8200950551341,2.19199746801496,-6.81953577272679,-8.07979470026794,-3.27132985716707,-5.70301494072237,11.3133213560554,-5.4575277109293,4.40642646387232,7.15891893244225,1.63659929554569,0.129916971308376,-4.76272738372245,-2.59365078639121,2.06874081963861,-2.93099549255976,4.0161898934789,6.27501624987372,2.41179688085003,-11.5384177394485,0.594727161203991,-3.4606425288739,2.64535071080309,0.410527395065401,-5.4625519016281,-6.16430654788564,-10.0878512394829,3.17630846950397,-0.513708259582017,0.647444323906711,1.48965923528112,-0.863696124173657,2.99574748936675,-10.1704775807543,1.47967265937814,-1.09007273449424,2.46170961617418,-4.94878063659598,-5.36126000271406,-3.29707198180313,1.83998338893662,1.13049117196988,-0.0108465063613039,-5.97380125866948,0.905681883182297,-7.40509919868464,2.48393535119021,-3.04880157889147,-8.72428472250886,6.64985957073077,-2.68104003381359,2.31311539447279,8.01140794732601,6.24444587431708,1.22200733676573,-3.50828787731007,2.49942814474207,10.7686367094552,2.87214323446551,4.73228290803536,-3.40833317358738,-0.779281672512298,-2.3622446380673,1.12404152979207,9.49125777545396,0.0101581398407689,0.172454689600727,-16.0753990177536,-23.1195483009601,-10.4004393541622,-22.7496046829228,-15.7742773319796,-21.1824971557139,-13.0261768431969,-16.6526834875922,-18.5383024005432
,2,0.977919994932108,-4.99546825906236,-2.6153230398113,-7.62438734860007,-27.9108424072438,-8.13894847254142,1.37498781632439,-4.49347712226472,-4.45703165988652,-3.59773434622684,-2.1812046121936,11.818140870163,-5.91057708539938,1.84894074560634,-0.123681135514289,-0.0657390064297942,0.0789997210395086,-0.756381235356002,-0.330782436954451,1.30105443289949,0.206270755712012,1.30127762122265,0.289303416027906,2.80680848738029,-8.28416418644019,0.355083064556311,-2.1284215724977,1.67393826791749,0.984982686119565,-0.307841385697884,-1.15181277810689,-3.13197683027784,3.01549583687938,-1.72034007256843,0.212647262248993,4.81896771484526,0.901709750395639,5.28502535862117,-1.04429893623683,6.17427059502415,-2.03779012780797,1.71251791553232,-1.17570550469009,-2.52498401023513,-1.56159237525935,2.20043314375971,0.875445929385023,-0.398353131050044,-0.369289979461428,3.15779308340507,1.39211959034901,2.86584616110804,6.97594051411124,0.0802823371641352,0.0492508183742757,-0.869111027661347,3.48557507560463,1.4353254320049,7.93585947353677,-3.62844665604098,-3.43898879780272,6.21916917567933,3.61006246538,0.711805369407102,9.65373105252047,2.08569875795456,-0.586198698962107,0.792328658124916,-0.133173083194379,2.63007303498625,4.90014756310165,-0.019924158395952,-18.6862313879146,-15.0697096408776,-15.66500283594,-21.519896009595,-13.7274000784528,-12.5719594955135,-13.7530203425008,-14.3292107804405,-12.9254265957015
,3,0.00274556310978369,-0.200359439155818,0.859839935416858,-1.36665028916195,-9.05218059364552,-1.69862076212485,-0.727877373752108,0.573625667121178,0.811745642246024,-4.23458377908401,-0.872021723124817,-0.636324622835673,-1.9674065446502,0.238817020065653,-0.222836188142992,0.520242231642442,-0.880617558974791,0.489780869278547,0.831167429340894,2.64288094672111,-0.547888760522255,-1.52434237085617,-1.26101659437063,1.04002831425669,-2.02608977077762,1.92767528674221,-4.21342734871268,1.8181109803545,2.21385393623677,1.71283447102542,1.05455196823414,1.28703486627728,1.67500678959641,-3.38216955207736,0.507997647328921,1.57591901263959,-0.805588988689578,-0.447977470829301,-2.56832066111838,3.61760828316847,1.65026599574912,4.03360230918679,-0.674836764191696,0.922552431450185,2.998111752152,-1.71894630964016,3.70597287087821,2.16888236892464,2.8174256812913,0.645894910538118,0.76960128733117,1.92729597870039,0.580285354745229,-1.60697994575048,3.15173270738023,-0.559954208184536,0.490392048242938,0.804027718629641,-2.22277057705969,3.20060507780317,-1.19460558814944,-0.627680032427634,0.240729486909459,1.8547997162409,4.24006198310644,-0.843166071750147,1.32244741167051,2.48376578982788,-0.0106503379238347,1.40031601950022,-1.55635827291371,3.21841299211519,-6.35877202190932,-12.6220611476033,-7.28131067618324,-12.5949536604617,-7.50933747484805,-8.37085718942762,-9.32534072442695,-8.74657606436494,-12.2846268138214
,4,0.548993825376328,1.45722403547461,-0.568692351274422,1.75238897843201,4.11786870077322,0.399959176781067,2.77502494131613,-0.992670207143419,-0.302139839633128,3.44235194305611,-0.683245232754871,0.63341170965623,2.63734335414529,2.62070969814431,1.87160924460932,0.363924169615075,0.682371295667508,4.3671310486211,1.23019092328468,0.496004953484771,1.80320770949083,2.575740213259,2.68563942956234,-1.10044540372064,-0.335353121590288,0.518922149804439,5.58671559673439,1.93900940884214,2.93572167452112,2.24063260764569,2.85371144869487,0.19392846505707,3.11882546569359,3.56169393286564,0.605869235577757,1.0843292473478,2.18743671840048,0.20928246127869,3.07329511122316,0.814859828118642,2.01919346569866,6.21668325374912,3.45566593469039,0.833670721377985,1.49641753978995,-2.0624475422951,0.355301636122476,-2.5990034127899,-0.443305576814055,2.11737380673185,1.29117022135824,0.720266733440894,2.49557447252164,2.84647383899983,2.75789628465236,1.49367117648808,0.972750439951142,2.29896254513733,2.76340825125999,3.20352930743729,1.03813589238644,1.1602173716351,1.00236590652503,0.658401884154046,1.2627527933123,3.58147571918744,0.149277517377868,1.76523538000174,0.300464745574118,3.60255953087699,5.55642479854714,-1.28151449281722,-3.99346310758619,-4.25133684384809,-2.75883168544442,-8.48209668792697,-7.89339428233234,-2.21565540200163,-1.91686900116474,-8.35615683060132,-9.57103922298575
,5,1.84450824059559,0.305215377214154,2.73304753720004,3.04136584438993,10.4662544983862,2.56810885346158,2.84724159615098,3.93405163173293,2.41472316609088,4.82830223405608,5.67753971731236,4.7372258219475,5.05004154916651,-0.0313815956346843,4.50486007813925,-0.126147632377524,1.68207264294779,1.96087237016309,5.25468448816991,-0.756158204972962,1.42542704035168,0.30860376266628,-2.67897441484001,3.76168522712896,1.82995484675257,2.53183959611579,1.89615802706385,3.8164076695416,1.55269052883114,0.149822999827848,2.96165044169038,-1.42965769789225,-1.53516797626162,3.56887062984924,0.81937235148871,1.80717938046382,2.35825684083147,4.21396560659605,1.9762497904012,4.63403762297503,0.969859128347707,0.104590287923656,-0.225872404795609,2.94036456221738,-3.45693642129163,6.27470740292301,4.64876980247209,1.92657359638542,-1.49078119350906,-1.50562583994042,1.83318948781653,2.0957717512988,0.0804870223714715,3.29211243678128,-1.4907906468311,1.04392699633672,4.61375109074652,1.97924983572602,1.66361693047838,1.9148921580927,2.78217098837376,-0.3061585475225,3.07226765492305,0.209999272944515,-2.71309795311754,0.0243449250510821,0.857034287564147,0.351392256685358,4.24190053103757,2.77281360370716,-0.228402128925609,-1.48818885212449,-3.96201439226343,-1.15076960197848,-4.62027901255306,-3.6417322023176,-1.41277702228717,-0.951030997549424,-0.849342511658506,-3.688937607566,-3.15087296498587
,6,5.98847771299825,5.38250168314107,1.73938760891815,4.23495975565766,8.48512770126626,2.16619497894408,1.83899711211097,1.67659666952295,-0.440673124090608,4.24868465916006,2.89379249179774,2.57801485169784,5.54274315357952,-0.256989590682224,1.48369434048254,1.17130292311322,-0.0384193104073347,-0.103663053355831,-2.31137890099353,1.80838537331238,1.67899999062547,0.0638218951785348,6.67465070426442,1.16428734646206,2.83576119663076,0.1903058365574,4.11647292302951,2.11848953609888,0.529643806136392,1.24209483236609,0.0948019990241846,4.12640937825336,-0.153938962155735,0.387991977867841,2.76841771659201,-0.69600990951858,2.11509697309248,-1.23003623811837,5.55071961272097,-5.17831530666854,-0.310453912858975,0.396211029047208,1.56933003506356,0.738903614763331,2.75570798098397,4.94639540349363,0.393918377881619,4.11573487599117,2.06869627058768,3.29920018777329,2.36774664952873,0.577920692160205,3.85992329611281,-1.18328084589803,0.476015975371865,1.93984624977202,0.480245049459427,-1.64724774339265,6.26368882723591,1.95880413926579,4.02273051126485,4.69158167126534,0.570853206197171,1.49335831268945,3.93735390623806,2.98232377299064,2.11465235693186,-2.31143214936583,0.524658410754,2.40803163156625,1.89126136875939,3.10163462579658,-1.74328703382525,-1.41040510098901,-0.908787713085985,1.11113445394403,1.2895310595527,0.353025579326186,-1.17034303039691,2.37829519323213,2.03035716262048
,7,1.44959071447647,0.819987072336517,1.85206569626598,1.60284129571619,8.49436121629515,3.96531507399732,2.36237913451578,3.57875734660138,5.34217128920091,4.51873639980886,3.37068227467034,4.87894341722176,2.33846327075116,3.51350310454063,-1.01678410746217,4.18047145501305,3.58462441680285,1.58297304194684,1.57550425391355,-0.995783943736114,2.30687309372524,5.78358163844041,1.18137578805863,2.58358932240662,1.9626811978851,-1.2989636263851,-0.800621452828636,-0.976316899932044,-2.16500234291289,-1.07045904928009,-2.34540054003992,1.22648181722889,4.10835955977109,3.11511044507415,0.097592030411306,4.4353501102355,1.34973685007435,5.53085981710683,1.91991361952296,1.75891287766763,-1.0861592709839,0.883897165811959,1.31639290261,-3.33531789691278,0.18158012692129,1.10371006416062,0.422294117764523,2.64904548403138,1.38039198166052,0.883834900989768,0.605179660642989,0.139826330297637,-0.252261393157823,0.92885016356604,1.16761623142293,0.804880230858544,0.878323951319089,3.15765733722492,-0.576755003582093,1.27722822344458,-0.269445847759471,1.60523815911802,-2.01399367342219,1.64331043066113,2.7751909483809,-0.523682309173637,1.23921876793247,1.53670913527139,-0.0965871432836138,-0.0505510330963261,1.83817123203607,5.64754535879865,3.85138482810135,2.71477788776019,1.50125727219165,1.62808834479711,-3.71184900794833,-1.16307517686027,2.96882733696884,0.69674494321589,2.03772114757339
,8,-0.0582274786975177,0.332788090735903,1.30073221886869,0.982610852087419,1.21904904066514,2.8130615358732,1.42330828785271,-0.581973915516301,4.57985803222346,-2.94573953217923,-1.49680231605589,-2.26494541712873,1.81376782681718,0.110838395490191,1.77024467803994,-0.963299530294535,0.914364685829696,-0.478196910011775,2.01884547247391,2.18337147581224,-3.07612168599735,-0.0809876326188714,1.62651561133316,-3.41370006945954,4.59482029391665,1.03707274195449,-0.349772440363722,1.05842784171955,-0.582728142067936,0.185359407186752,-3.06168953651058,-2.18476636411106,2.58299556872998,-2.59455335079838,3.4990975144442,-0.433227337711287,4.29068439321145,-0.818286568360236,-1.41350080551592,-4.10721060810738,-0.594680473867811,-3.08403257069358,-0.685863175040595,-0.68006448802862,1.97283874940604,-1.93138771869508,-2.84113174821732,4.43489383212636,3.29336328363433,2.81632885847193,-2.22359776363191,1.00492421594117,0.137844411988226,-1.3539985513321,0.451837294277539,3.8720389908558,2.18884698275815,2.86599339071017,4.8880939326441,-1.07500351393537,0.483613945277284,1.25829353705694,2.02323049337929,1.92545328335427,1.79181832473341,-0.257256657414018,-0.560588253402784,2.18395367111043,1.74187114354118,-0.762345435261977,-1.51793799225061,1.84166256288518,-1.21913715444316,1.41117434176476,0.629066820406024,-1.50972454535122,4.00388046678518,1.94515751155404,-0.390651723240353,5.58693218367716,2.66761493827971
,9,-2.11723949089128,-1.80847693984788,-0.380984267361782,-0.470098132823296,-0.860173499150733,-0.660467810752834,0.334887882434032,-0.0687165848712539,-0.138222926231265,2.10616731894515,0.439302146630325,1.24867426326136,-0.514496766953926,-1.74348803488601,-3.72574345404109,-0.689025456211311,0.855540776433372,-5.04309370940746,-2.59749208923677,1.71967693089937,0.908230540070235,-0.494977831813685,-2.27278962564424,0.985825133626349,0.628800554638929,2.20367919544242,-0.666856369853576,-3.65079780282394,-3.62228330832249,-2.31695831680145,1.17235809555177,-1.77102377152005,-1.00542309523689,0.823743022210238,-0.626711717797207,3.72391853507452,-0.535103380410874,-1.02947132199461,1.56094166448747,2.64589700896749,-2.2192622897237,-3.92308865400628,-0.993811847050438,-0.725873527364001,0.985267226717042,0.956801751046442,2.88592176313114,-0.355982829278219,1.03848011579794,1.06663987307275,-2.30913180943389,0.256707071725941,2.26302153361621,0.695347333393784,-1.06454920028864,0.854451795658861,0.924803399513166,-1.10110791271973,-1.43943235193683,-2.64987960050576,0.192281321967585,-2.21278325914636,-1.21890335258922,-0.451212359531837,-3.87909739221641,2.0857391835907,1.72683279351804,-0.327855098703367,-0.12187201443885,-1.61544601734658,-0.420887568279795,-1.24228311533307,1.85826943272241,-0.0733155990724299,1.28566243250998,1.8667259956992,0.737267065112974,3.06815308544174,0.846629561162899,-0.0727314330201807,3.44272379356562
,10,-0.109710879346494,2.3935296044524,1.3235152851471,-1.90600736029819,-1.53466718539039,-2.97986412199407,-2.29874283906884,1.57736107472874,0.491957403116885,0.012987174995942,0.892087994920075,0.0626938710779541,-3.596023102451,2.7974676996223,0.95888506392339,-0.269020552990696,-1.61606377604403,0.0743402742018588,-1.67706511288816,2.34764874685925,1.35214138452375,-2.12282580425244,1.2202619933023,2.42224277527384,1.93126177142449,1.51771380105583,-0.466465327009246,-2.47599036299152,0.380353923600524,3.02069932620725,1.97352831736634,1.78506282966964,2.00432644390503,-2.57020533750074,0.621505499356317,-0.0823790307713352,-0.910467104682994,1.62768387002507,0.483368626690663,3.24453102279676,5.45906641602005,-5.19237715853387,-1.95011266218535,-0.0849635510840017,1.40390516748175,0.190300009982366,-1.41957086538423,-0.298742521482836,-0.193011119498351,-0.110794966633421,0.951867919969118,2.78850101820626,4.92146284174532,1.78006933134202,2.84493236205708,-1.15327893110771,-0.0699812014122472,2.16620151058487,0.763171975891055,1.77053845934597,5.9823780179031,1.55203288362009,0.650111643546097,1.89076501184672,0.386340102260419,0.0039631733529859,0.928236673271385,2.64371248490443,1.45120930730354,-0.469892643006915,3.26633646491291,4.26884851078194,4.9146515726361,1.69297604444364,6.06217276310917,7.07065623359995,-2.09643632378175,3.87885741024866,4.21668305598678,0.224367521982913,5.46767446790955
