,Data Set,Target,Sample,Ctrl,Relative Quantity,Relative Quantity SD,Corrected Relative Quantity SD,Relative Quantity SEM,Corrected Relative Quantity SEM,Unscaled Expression,Unscaled Expression SD,Corrected Unscaled Expression SD,Unscaled Expression SEM,Corrected Unscaled Expression SEM,Expression,Expression SD,Corrected Expression SD,Expression SEM,Corrected Expression SEM,Wells,Mean Cq,Cq SD,Cq SEM
,1-SYBR,Cit9,Cit9,,0.363657445475977,0.413772192730727,0.413772192730727,0.137924064243576,0.137924064243576,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9,17.4304507980155,1.64150933230324,0.547169777434413
,1-SYBR,Cit9,J-Cit9,,1,0.369440247242135,0.369440247242135,0.123146749080712,0.123146749080712,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9,15.9711028172838,0.532989612601021,0.17766320420034
,1-SYBR,CitMax,CitMax,,0.358738861703141,0.0679672436812022,0.0679672436812023,0.0226557478937341,0.0226557478937341,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9,17.4090090897849,0.2733353307089,0.0911117769029665
,1-SYBR,CitMax,J-CitMax,,1,0.150645388094508,0.150645388094508,0.0502151293648359,0.0502151293648359,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9,15.9300150338912,0.21733535433674,0.0724451181122465
,1-SYBR,mCh,Cit9,,0.408283593763372,0.381547200957252,0.381547200957252,0.127182400319084,0.127182400319084,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9,16.222640157852,1.34822036225418,0.44940678741806
,1-SYBR,mCh,CitMax,,0.518390351389691,0.0960494782309187,0.0960494782309187,0.0320164927436396,0.0320164927436396,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9,15.8781728880232,0.267308420290314,0.0891028067634379
,1-SYBR,mCh,J-Cit9,,0.795536602422367,0.15360078035523,0.15360078035523,0.0512002601184102,0.0512002601184101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9,15.2602834440504,0.27855297093862,0.0928509903128732
,1-SYBR,mCh,J-CitMax,,1,0.111316534379,0.111316534379,0.0371055114596668,0.0371055114596668,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9,14.9302836592523,0.16059581211753,0.0535319373725099
