File Name,codopt_MIN069_Ingolia Lab_2017-10-24 14-15-53_CT009900.pcrd
Created By User,Ingolia Lab
Notes,
ID,
Run Started,10/24/2017 21:16:21 UTC
Run Ended,10/24/2017 23:00:51 UTC
Sample Vol,20
Lid Temp,105
Protocol File Name,CFX_3StepAmp+Melt_njm.prcl
Plate Setup File Name,Quick Plate_96 wells_SYBR Only.pltd
Base Serial Number,CT009900
Optical Head Serial Number,785BR9944
CFX Manager Version,3.1.1517.0823. 
