.id,area,n
12-3-21_103-50-c9-SCD_A04.fcs,area 1,31099
12-3-21_103-50-c9-SCD_A04.fcs,area 2,86
12-3-21_103-50-c9-SCD_A04.fcs,area 3,175
12-3-21_103-50-c9-SCD_A04.fcs,area 4,79
12-3-21_103-50-c9-SCD_A04.fcs,area 5,183
12-3-21_103-50-c9-SCD_A04.fcs,area 6,69
12-3-21_103-50-c9-SCD_A04.fcs,area 7,27
12-3-21_103-50-c9-SCD_A04.fcs,area 8,33
12-3-21_103-50-c9-tet_A10.fcs,area 1,9991
12-3-21_103-50-c9-tet_A10.fcs,area 2,1318
12-3-21_103-50-c9-tet_A10.fcs,area 3,885
12-3-21_103-50-c9-tet_A10.fcs,area 4,66
12-3-21_103-50-c9-tet_A10.fcs,area 5,192
12-3-21_103-50-c9-tet_A10.fcs,area 6,23
12-3-21_103-50-c9-tet_A10.fcs,area 7,337
12-3-21_103-50-c9-tet_A10.fcs,area 8,840
12-3-21_103-50-c9-tet_A10.fcs,area 9,52
12-3-21_103-50-ci-SCD_A01.fcs,area 1,29
12-3-21_103-50-ci-SCD_A01.fcs,area 10,28
12-3-21_103-50-ci-SCD_A01.fcs,area 11,284
12-3-21_103-50-ci-SCD_A01.fcs,area 12,12
12-3-21_103-50-ci-SCD_A01.fcs,area 13,12
12-3-21_103-50-ci-SCD_A01.fcs,area 14,3
12-3-21_103-50-ci-SCD_A01.fcs,area 15,6
12-3-21_103-50-ci-SCD_A01.fcs,area 16,27
12-3-21_103-50-ci-SCD_A01.fcs,area 17,59
12-3-21_103-50-ci-SCD_A01.fcs,area 18,7
12-3-21_103-50-ci-SCD_A01.fcs,area 19,157
12-3-21_103-50-ci-SCD_A01.fcs,area 2,31116
12-3-21_103-50-ci-SCD_A01.fcs,area 20,14
12-3-21_103-50-ci-SCD_A01.fcs,area 21,111
12-3-21_103-50-ci-SCD_A01.fcs,area 22,2
12-3-21_103-50-ci-SCD_A01.fcs,area 23,66
12-3-21_103-50-ci-SCD_A01.fcs,area 24,7
12-3-21_103-50-ci-SCD_A01.fcs,area 25,25
12-3-21_103-50-ci-SCD_A01.fcs,area 3,2
12-3-21_103-50-ci-SCD_A01.fcs,area 4,5
12-3-21_103-50-ci-SCD_A01.fcs,area 5,611
12-3-21_103-50-ci-SCD_A01.fcs,area 6,1
12-3-21_103-50-ci-SCD_A01.fcs,area 7,4
12-3-21_103-50-ci-SCD_A01.fcs,area 8,4
12-3-21_103-50-ci-SCD_A01.fcs,area 9,23
12-3-21_103-50-ci-tet_A07.fcs,area 1,10539
