,1,2,3,4,5,6,7,8,9,10,11,12
A,114-A-ci-SCD,114-B-ci-SCD,114-C-ci-SCD,114-A-c9-SCD,114-B-c9-SCD,114-C-c9-SCD,114-A-ci-tet,114-B-ci-tet,114-C-ci-tet,114-A-c9-tet,114-B-c9-tet,114-C-c9-tet
B,113-A-ci-SCD,113-B-ci-SCD,113-C-ci-SCD,113-A-c9-SCD,113-B-c9-SCD,113-C-c9-SCD,113-A-ci-tet,113-B-ci-tet,113-C-ci-tet,113-A-c9-tet,113-B-c9-tet,113-C-c9-tet
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
