,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,E2A-cit9-A,E2A-cit9-B,E2A-cit9-C,E2A-citMin-A,E2A-citMin-B,E2A-citMin-C,,BY4743-BY4743-BY4743,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
