guide	yorf	gene	logFC.slow	adj.P.Val.slow	logFC.fast	adj.P.Val.fast
YAL025C_05	YAL025C	MAK16	-0.970801511643665	0.0083900386173298	-0.520453827414067	0.999989686247773
YAL028W_01	YAL028W	FRT2	-1.17668922192874	0.0829905065584874	-1.29620333530436	0.00793726546781072
YAL032C_05	YAL032C	PRP45	-1.28881349551821	0.0266198657410174	-2.12308080441288	0.0046117410417553
YAL035W_04	YAL035W	FUN12	2.39669809511403	0.0248914180896015	-0.283771304412178	0.999989686247773
YAR009C_00	YAR009C	YAR009C	-0.837244500984001	0.85177421767272	-1.39655294269095	0.0116686625466514
YBL050W_03	YBL050W	SEC17	-0.948781728155317	0.0254837243787284	-0.779109088829224	0.150080413987075
YBL079W_03	YBL079W	NUP170	1.26219239776567	0.000521486098218555	1.00989546951131	0.513037765137818
YBL079W_06	YBL079W	NUP170	0.878099137197793	0.00153298814528166	0.734661171081185	0.144054761001954
YBL092W_07	YBL092W	RPL32	-1.2492163658857	0.0160185742814208	-0.544821753103103	0.999989686247773
YBL100W-A_02	YBL100W-B	YBL100W-B	0.169779918216811	6.30607884012025e-05	0.182303853148196	0.205144741139702
YBR020W_06	YBR020W	GAL1	-1.64873141910249	0.000211434238673413	-0.899942438491792	0.365124447003934
YBR020W_09	YBR020W	GAL1	-0.848378496034885	8.98466459594439e-05	-0.802582595062049	0.0249457253764057
YBR029C_07	YBR029C	CDS1	-0.913732457505189	0.0625499490309112	-1.14405855348034	0.00922763529948036
YBR039W_04	YBR039W	ATP3	-1.62447322016681	3.42097820208095e-12	-1.31321680178438	0.000328321334306891
YBR039W_05	YBR039W	ATP3	-1.32099048165861	3.57593737301385e-09	-1.76179771837431	1.25146605343371e-11
YBR098W_06	YBR098W	MMS4	-1.01701441247291	0.0054520030959899	-1.36008201773835	0.000454386947040022
YBR127C_06	YBR127C	VMA2	-1.10481412551948	0.0197002468948551	-0.54203966532242	0.999989686247773
YBR154C_03	YBR154C	RPB5	-1.39264463972224	1.28895580574929e-05	-1.21017999243401	0.0277924490443472
YBR254C_09	YBR255W	MTC4	-1.67481183654545	6.81023837427023e-05	-0.562287410929593	0.999989686247773
YCL008C_06	YCL005W-A	VMA9	-1.56842836125363	9.25822223548484e-05	-0.866523522189858	0.999989686247773
YCL009C_08	YCL009C	ILV6	-1.41792094737567	0.696023103777793	-1.98671666346045	0.0161468646650552
YCR012W_03	YCR012W	PGK1	-1.82654820357798	1.89083203104131e-08	-1.52030393784831	6.61777616256607e-09
YCR012W_07	YCR012W	PGK1	-2.11284277146359	9.60170855119313e-25	-1.27109329245442	4.01185522011161e-06
YCR054C_02	YCR054C	CTR86	-1.04064542547058	0.00939388090757336	-0.657360936205377	0.644313377756587
YCR075C_05	YCR075C	ERS1	-1.66453904041592	0.0625499490309112	-3.01717223463091	1.02389129194009e-08
YCR079W_01	YCR077C	PAT1	1.09825947304696	0.0207206098764634	1.21714307754376	0.000141372587368968
YDL003W_07	YDL003W	MCD1	-0.215675352660163	0.99938470421465	-0.952279162098725	0.0449096716806914
YDL004W_07	YDL004W	ATP16	-2.19881464471686	0.000117631505771789	-1.84601164896795	0.00508483143022584
YDL005C_01	YDL005C	MED2	-2.12952990902609	3.66575063048863e-12	-2.11197000198794	4.4887534739806e-06
YDL084W_06	YDL084W	SUB2	1.01967778258778	0.00114514361952412	1.2501382387031	0.000888248057245767
YDL084W_08	YDL084W	SUB2	1.47455849259151	0.0118611468086951	1.05384026512097	0.00907221815503077
YDL097C_06	YDL097C	RPN6	-1.41352124250085	0.0152777948976197	-0.852774936579389	0.139497008021928
YDL115C_04	YDL115C	IWR1	-0.437970838488399	0.947180087705405	-0.695761064024915	0.0405396405017209
YDL185W_05	YDL185W	VMA1	-1.08071231547151	2.62407764682381e-07	-0.928998093026033	0.0020860148106015
YDL195W_05	YDL195W	SEC31	0.35259212650533	0.99938470421465	-2.32848613245514	0.0479818380279983
YDL207W_09	YDL207W	GLE1	0.898871899681288	0.00250081561155678	0.856148890510143	0.811198277146368
YDR034C-C_05	YDR034C-D	YDR034C-D	-0.582842378730492	0.0436926312602599	-0.545931367285039	0.971149218274345
YDR159W_01	YDR159W	SAC3	1.14856599829126	0.781664495370501	1.31874388433959	0.00857080742083711
YDR168W_05	YDR168W	CDC37	-0.77288572705881	0.0096675563212038	-1.18093591304981	1.73189158557442e-05
YDR172W_09	YDR172W	SUP35	-1.92925098966556	0.00949330381121072	-0.609560282169083	0.999989686247773
YDR228C_01	YDR228C	PCF11	-1.44402998145831	2.01349732272831e-07	-1.24876272740793	0.000328321334306891
YDR228C_06	YDR228C	PCF11	-1.07791192197786	0.000256380494834359	-0.752896186935708	0.726617353822762
YDR301W_09	YDR301W	CFT1	-1.1302090478698	0.000541912728086804	-0.996789597151962	0.00512893801315901
YDR311W_02	YDR311W	TFB1	-1.9990167229249	7.40108483549812e-13	-2.03935083257003	1.73290198414162e-07
YDR335W_03	YDR335W	MSN5	1.00649487755508	0.00985535191580555	1.22549823133075	0.000136720127865353
YDR335W_04	YDR335W	MSN5	0.874767745990137	0.00187291466577492	0.715359403835063	0.483486446359292
YDR386W_09	YDR386W	MUS81	-0.639242649956725	0.99938470421465	-1.93753174692572	0.0328637148272831
YDR398W_01	YDR398W	UTP5	-2.24361646105821	0.00876461853587291	0.207033322287202	0.999989686247773
YDR404C_01	YDR404C	RPB7	-2.12877996501534	0.0254361127149442	-1.85706664225696	0.264331749061355
YDR404C_04	YDR404C	RPB7	-3.78616453733239	1.64441411911157e-06	-1.91688946144208	3.07674675311672e-05
YDR426C_02	YDR427W	RPN9	-1.21208296408106	0.000167595099538092	-0.933800755042167	0.00371999224535559
YDR427W_04	YDR427W	RPN9	-2.12892321244364	0.00660150868350686	-1.0255754167059	0.917902462729222
YDR448W_00	YDR448W	ADA2	-0.849256076350698	0.99938470421465	-1.39047369594848	0.000325389053418996
YDR458C_09	YDR458C	HEH2	-0.739102522871832	0.00450620884123108	-0.511764781823999	0.999989686247773
YDR459C_08	YDR460W	TFB3	-1.42086549356976	0.0118611468086951	-1.22876319938126	0.0216256380671246
YEL002C_07	YEL002C	WBP1	-0.97602182214477	0.632539561212689	-1.48758244699019	0.0161468646650552
YEL020W-A_08	YEL020W-A	TIM9	-1.13380123747319	0.101965195986406	-1.60459951617991	0.000107033479797621
YEL051W_05	YEL051W	VMA8	-2.16670097399983	3.31080231635774e-05	-1.12988996753308	0.181257331666958
YEL052W_09	YEL052W	AFG1	-0.357782694275173	0.99938470421465	-1.2923542006944	0.0295494376092276
YER003C_06	YER003C	PMI40	-0.751918930161511	0.00475073970940302	-0.482676063991678	0.999989686247773
YER008C_07	YER008C	SEC3	2.39599703842557	0.00109311449468964	-0.426548931944839	0.999989686247773
YER022W_01	YER022W	SRB4	-1.07883040996496	0.0465734158214895	-0.524291316268616	0.999989686247773
YER023W_01	YER023W	PRO3	-0.968029742232171	0.00970697362890188	-0.282995990675455	0.999989686247773
YER029C_05	YER030W	CHZ1	-0.955880019393439	0.0084647712351965	-0.388946276025982	0.999989686247773
YER102W_05	YER102W	RPS8B	-1.72492070825354	0.0108315086352184	-0.0862139461452601	0.999989686247773
YER146W_02	YER146W	LSM5	0.940900207129548	0.00631561107711363	0.247360543780221	0.999989686247773
YER147C_00	YER148W	SPT15	-0.822982648282748	0.0177979264766956	-0.589801964453718	0.999989686247773
YER165W_04	YER165W	PAB1	-1.33429258564344	0.184505717762843	-2.09860309227699	1.56082861870397e-06
YER165W_06	YER165W	PAB1	-1.77509671088056	0.00132322824466428	-1.82836207540964	0.175908938188529
YER165W_09	YER165W	PAB1	-2.4792657058838	2.20794590725745e-10	-3.28594541688247	2.5658323078079e-20
YER171W_06	YER171W	RAD3	-1.11463708475555	0.746831144216882	-1.66130163644654	0.0307425587583671
YFR027W_01	YFR027W	ECO1	-1.83544534487791	0.038948115656359	-1.41444258128281	0.575765589012342
YFR049W_02	YFR049W	YMR31	0.056062788556268	0.99938470421465	2.34275544467394	0.0208064588894834
YFR052W_02	YFR052W	RPN12	-1.89724968458907	0.00135062956028546	-0.983515781843791	0.999989686247773
YFR052W_06	YFR052W	RPN12	-2.00973024021253	0.27226832959636	-1.85647495395768	0.000328321334306891
YGL025C_03	YGL025C	PGD1	-1.36615217299311	0.58345188090781	-2.29846473500771	5.13311925427302e-12
YGL026C_09	YGL026C	TRP5	-1.82384292922233	4.58401783431292e-08	-1.51641970592583	0.000112263669696689
YGL043W_03	YGL044C	RNA15	-0.521276185017175	0.0151098412114797	-1.08442698696162	3.83260760282027e-07
YGL068W_01	YGL070C	RPB9	-1.70565177124201	3.17410002746863e-05	-1.30150974960385	0.00038165416268036
YGL073W_02	YGL073W	HSF1	1.58709821759531	6.31502385071529e-09	1.00622064963227	0.0636846036946821
YGL073W_06	YGL073W	HSF1	1.44450033450834	7.57387131135754e-07	1.21024709699294	0.0101561997152074
YGL130W_04	YGL131C	SNT2	-0.0310950538415162	0.99938470421465	-1.28356310158563	0.00281918288750003
YGL130W_07	YGL130W	CEG1	-1.6487920063888	4.40650235144975e-06	-1.44539883694054	0.000323787765085094
YGL137W_01	YGL137W	SEC27	-1.7698344753416	0.000641862961788502	-0.905618904061628	0.995484283773094
YGL207W_08	YGL207W	SPT16	-0.742263887547112	0.0935987586832566	-0.97489795349715	0.00159218148505555
YGL225W_07	YGL225W	VRG4	-1.01767452926589	0.99938470421465	-1.12447640092359	0.0177994495814977
YGL233W_05	YGL233W	SEC15	-2.31350885696428	0.00165125444152704	0.679076051858203	0.999989686247773
YGL238W_01	YGL238W	CSE1	-2.04724687212602	5.4668523183061e-07	-1.73322374975818	0.00414572125991388
YGL238W_09	YGL238W	CSE1	-2.76479940869003	0.000563742447889865	-1.97687492977685	0.0878320165515484
YGR006W_00	YGR006W	PRP18	-2.25259931772094	0.0784708596246999	-2.25942315042045	0.000122065333968015
YGR020C_01	YGR020C	VMA7	-1.39247157894047	0.00110215304607704	-1.41072942906582	0.0479818380279983
YGR020C_02	YGR020C	VMA7	-0.879056794389711	0.00674937054303803	-0.930424757411089	0.0889458325581495
YGR038W_02	YGR038W	ORM1	-0.121982083778101	0.99938470421465	1.90795794337482	0.00555289140589504
YGR056W_00	YGR056W	RSC1	-0.577377533565467	0.99938470421465	-1.32126113596977	0.00414572125991388
YGR102C_06	YGR103W	NOP7	2.18718226512686	0.000316238389795564	-0.313812251044493	0.999989686247773
YGR116W_01	YGR116W	SPT6	-1.44303447556367	0.038680345643279	-1.0381222395915	0.392473819624091
YGR116W_03	YGR116W	SPT6	-2.09994703277994	0.00603226865268754	-1.91596188823083	0.0320479838665689
YGR116W_04	YGR116W	SPT6	-1.07759899906637	0.019276933134399	-0.832629559071502	0.0406089247480378
YGR116W_05	YGR116W	SPT6	-2.45378118715232	0.013514929248344	-1.75634853917045	0.171733030053872
