,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,hel2-CGA-A,hel2-CGA-B,hel2-CGA-C,syh1-CGA-A,syh1-CGA-B,syh1-CGA-C,,,,,,
G,hel2syh1-CGA-A,hel2syh1-CGA-B,hel2syh1-CGA-C,syh1smy2-CGA-A,syh1smy2-CGA-B,syh1smy2-CGA-C,,,,,,
H,WT-CGA-A,WT-CGA-B,WT-CGA-C,BY4743-BY4743-BY4743,,,,,,,,
