,1,2,3,4,5,6,7,8,9,10,11,12
A,,,BY4743-BY4743-BY4743,NM-cit6-A,NM-cit9-A,NM-citMax-A,,,,,,
B,NM-citMin-B,NM-cit0-B,NM-cit3-B,NM-cit6-B,NM-cit9-B,NM-citMax-B,,,,,,
C,NM-citMin-C,NM-cit0-C,NM-cit3-C,NM-cit6-C,NM-cit9-C,NM-citMax-C,,,,,,
D,,,,,,,,,,,,
E,eCit20-citMin-A,eCit20-cit0-A,eCit20-cit3-A,eCit20-cit6-A,eCit20-cit9-A,eCit20-citMax-A,,,,,,
F,eCit20-citMin-B,eCit20-cit0-B,eCit20-cit3-B,eCit20-cit6-B,eCit20-cit9-B,eCit20-citMax-B,,,,,,
G,eCit20-citMin-C,eCit20-cit0-C,eCit20-cit3-C,eCit20-cit6-C,eCit20-cit9-C,eCit20-citMax-C,,,,,,
H,,,,,,,,,,,,
