,1,2,3,4,5,6,7,8,9,10,11,12
A,Hel2-A-ci,Hel2-B-ci,Hel2-C-ci,Hel2-A-c9,Hel2-B-c9,Hel2-C-c9,Lion-A-Lion,Lion-B-Lion,Lion-C-Lion,Sphinx-A-Sphinx,Sphinx-B-Sphinx,Sphinx-C-Sphinx
B,Rkr1-A-ci,Rkr1-B-ci,Rkr1-C-ci,Rkr1-A-c9,Rkr1-B-c9,Rkr1-C-c9,WT-A-ci,WT-A-c9,4743-A-4743,,,
C,Mbf1-A-ci,Mbf1-B-ci,Mbf1-C-ci,Mbf1-A-c9,Mbf1-B-c9,Mbf1-C-c9,,,,,,
D,Gcn1-A-ci,Gcn1-B-ci,Gcn1-C-ci,Gcn1-A-c9,Gcn1-B-c9,Gcn1-C-c9,,,,,,
E,Syh1-A-ci,Syh1-B-ci,Syh1-C-ci,Syh1-A-c9,Syh1-B-c9,Syh1-C-c9,,,,,,
F,Smy2-A-ci,Smy2-B-ci,Smy2-C-ci,Smy2-A-c9,Smy2-B-c9,Smy2-C-c9,,,,,,
G,Hel2Syh1-A-ci,Hel2Syh1-B-ci,Hel2Syh1-C-ci,Hel2Syh1-A-c9,Hel2Syh1-B-c9,Hel2Syh1-C-c9,,,,,,
H,Smy2Shy1-A-ci,Smy2Shy1-B-ci,Smy2Shy1-C-ci,Smy2Shy1-A-c9,Smy2Shy1-B-c9,Smy2Shy1-C-c9,,,,,,
