,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,107-A-ci-SCD,107-B-ci-SCD,107-C-ci-SCD,107-A-c9-SCD,107-B-c9-SCD,107-C-c9-SCD
B,,,,,,,108-A-ci-SCD,108-B-ci-SCD,108-C-ci-SCD,108-A-c9-SCD,108-B-c9-SCD,108-C-c9-SCD
C,,,,,,,110-A-ci-SCD,110-B-ci-SCD,110-C-ci-SCD,110-A-c9-SCD,110-B-c9-SCD,110-C-c9-SCD
D,,,,,,,111-A-ci-SCD,111-B-ci-SCD,111-C-ci-SCD,111-A-c9-SCD,111-B-c9-SCD,111-C-c9-SCD
E,,,,,,,107-A-ci-tet,107-B-ci-tet,107-C-ci-tet,107-A-c9-tet,107-B-c9-tet,107-C-c9-tet
F,,,,,,,108-A-ci-tet,108-B-ci-tet,108-C-ci-tet,108-A-c9-tet,108-B-c9-tet,108-C-c9-tet
G,,,,,,,111-A-ci-tet,111-B-ci-tet,111-C-ci-tet,111-A-c9-tet,111-B-c9-tet,111-C-c9-tet
H,,,,,,,102-A-ci-SCD,102-B-ci-SCD,102-C-ci-SCD,102-A-c9-SCD,102-B-c9-SCD,102-C-c9-SCD
